t,delay_rel_hand,delay_rel_auto,T_top,T_bot,u_auto
0.128,6.123021774898025e-06,6.123022428201072e-06,25.03606086653299,25.001570005750796,2.3917436339613567e-06
0.129,6.215344897861821e-06,6.215345571359707e-06,25.036324805092438,25.001593678351618,2.4285534159148752e-06
0.13,6.3082962490770415e-06,6.308296943653291e-06,25.03658847970449,25.00161751203683,2.4656311846319397e-06
0.131,6.4018744804119556e-06,6.401875196192786e-06,25.036851890633034,25.001641506460587,2.5029766503461538e-06
0.132,6.4960782448707895e-06,6.496078982487291e-06,25.037115038141685,25.00166566127757,2.5405895237261085e-06
0.133,6.590906197729691e-06,6.5909069578129505e-06,25.037377922493803,25.00168997614299,2.5784695156390563e-06
0.134,6.686356996284289e-06,6.686357778834307e-06,25.037640543952477,25.001714450712594,2.6166163370092326e-06
0.135,6.782429300102134e-06,6.782430106381088e-06,25.037902902780537,25.001739084642647,2.6550296998618084e-06
0.136,6.8791217708964776e-06,6.8791226009043675e-06,25.03816499924055,25.00176387758995,2.693709315616826e-06
0.137,6.976433071895183e-06,6.976433926136881e-06,25.03842683359482,25.00178882921183,2.732654896464557e-06
0.138,7.074361868724254e-06,7.074362747830847e-06,25.038688406105386,25.001813939166134,2.7718661548923318e-06
0.139,7.172906829155393e-06,7.17290773375797e-06,25.038949717034033,25.001839207111242,2.811342803685235e-06
0.14,7.2720666231060044e-06,7.272067553583219e-06,25.039210766642277,25.001864632706056,2.8510845558793736e-06
0.14100000000000001,7.371839921755671e-06,7.371840878991048e-06,25.039471555191376,25.00189021561,2.891091124809964e-06
0.14200000000000002,7.472225399439418e-06,7.472226383937828e-06,25.039732082942322,25.001915955483025,2.931362224206888e-06
0.14300000000000002,7.573221732133104e-06,7.573222743768328e-06,25.039992350155853,25.001941851985602,2.9718975678634663e-06
0.14400000000000002,7.674827596822325e-06,7.674828637108979e-06,25.04025235709244,25.001967904778727,3.0126968703483955e-06
0.145,7.777041674657867e-06,7.777042743217294e-06,25.0405121040123,25.001994113523914,3.05375984601084e-06
0.146,7.87986264641186e-06,7.879863744380023e-06,25.040771591175385,25.0020204778832,3.095086209881834e-06
0.147,7.98328919664297e-06,7.983290324650955e-06,25.04103081884139,25.002046997519138,3.1366756772010197e-06
0.148,8.087320011172034e-06,8.087321169724713e-06,25.041289787269744,25.002073672094806,3.1785279633698265e-06
0.149,8.191953778218033e-06,8.191954967820277e-06,25.041548496719628,25.0021005012738,3.220642784284057e-06
0.15,8.297189187388337e-06,8.297190408797453e-06,25.041806947449953,25.00212748472023,3.2630198560027393e-06
0.151,8.403024931445765e-06,8.403026185040405e-06,25.042065139719377,25.002154622098725,3.3056588950807125e-06
0.152,8.509459703658004e-06,8.509460990195477e-06,25.0423230737863,25.00218191307443,3.348559618095193e-06
0.153,8.616492200448186e-06,8.616493520559579e-06,25.042580749908858,25.002209357313006,3.3917217421679433e-06
0.154,8.724121119880272e-06,8.724122474322892e-06,25.042838168344936,25.00223695448063,3.4351449846816113e-06
0.155,8.83234516203771e-06,8.832346551568862e-06,25.043095329352155,25.00226470424399,3.4788290632803773e-06
0.156,8.941163029275861e-06,8.941164454147983e-06,25.043352233187886,25.002292606270295,3.522773695823183e-06
0.157,9.050573425086055e-06,9.05057488618267e-06,25.043608880109232,25.002320660227255,3.5669786005740615e-06
0.158,9.16057505598884e-06,9.160576554193472e-06,25.043865270373047,25.002348865783105,3.6114434962503563e-06
0.159,9.271166629893163e-06,9.271168165584464e-06,25.044121404235927,25.002377222606583,3.656168101454378e-06
0.16,9.382346857106108e-06,9.382348430915169e-06,25.044377281954212,25.00240573036694,3.7011521355274677e-06
0.161,9.49411444944937e-06,9.494116062385931e-06,25.04463290378398,25.002434388733942,3.746395317981912e-06
0.162,9.606468120890347e-06,9.606469773585498e-06,25.04488826998106,25.002463197377857,3.791897368406655e-06
0.163,9.719406587920792e-06,9.719408280879404e-06,25.045143380801026,25.002492155969467,3.837658006989513e-06
0.164,9.832928568294635e-06,9.832930302147797e-06,25.045398236499185,25.002521264180057,3.883676954043828e-06
0.165,9.947032781659074e-06,9.947034557542744e-06,25.045652837330604,25.002550521681428,3.929953930293572e-06
0.166,1.0061717950564311e-05,1.0061719768857143e-05,25.045907183550085,25.002579928145877,3.976488656636987e-06
0.167,1.0176982798444076e-05,1.017698466028203e-05,25.046161275412178,25.002609483246218,4.023280854431726e-06
0.168,1.0292826051761325e-05,1.0292827957396835e-05,25.04641511317118,25.00263918665576,4.070330245116244e-06
0.169,1.0409246437988751e-05,1.040924838855778e-05,25.046668697081127,25.002669038048325,4.1176365507320135e-06
0.17,1.0526242686744756e-05,1.0526244683004608e-05,25.046922027395812,25.002699037098232,4.165199493213019e-06
0.171,1.0643813530424526e-05,1.064381557300629e-05,25.04717510436877,25.002729183480312,4.213018795192391e-06
0.17200000000000001,1.0761957702685428e-05,1.0761959792598847e-05,25.047427928253274,25.00275947686989,4.261094179529143e-06
0.17300000000000001,1.0880673939078095e-05,1.0880676077080474e-05,25.04768049930236,25.0027899169428,4.309425369119061e-06
0.17400000000000002,1.0999960977425077e-05,1.099996316389507e-05,25.047932817768796,25.002820503375368,4.358012087227151e-06
0.17500000000000002,1.1119817557189758e-05,1.1119819793137107e-05,25.048184883905105,25.00285123584443,4.406854057678105e-06
0.176,1.1240242420233656e-05,1.1240244706541886e-05,25.048436697963556,25.002882114027322,4.455951004477774e-06
0.177,1.136123430955425e-05,1.1361236647233104e-05,25.048688260196165,25.00291313760187,4.505302651718871e-06
0.178,1.1482791971304466e-05,1.148279436085881e-05,25.048939570854696,25.002944306246405,4.554908724008328e-06
0.179,1.160491415239453e-05,1.1604916594960328e-05,25.04919063019066,25.002975619639756,4.604768946231016e-06
0.18,1.1727599602511462e-05,1.1727602098593585e-05,25.049441438455325,25.00300707746125,4.6548830434081035e-06
0.181,1.1850847072730677e-05,1.1850849623969954e-05,25.049691995899696,25.003038679390706,4.705250741314183e-06
0.182,1.1974655316399512e-05,1.1974657923048379e-05,25.049942302774536,25.003070425108444,4.755871765197733e-06
0.183,1.2099023088632347e-05,1.209902575132189e-05,25.050192359330353,25.003102314295276,4.806745841203947e-06
0.184,1.2223949146689265e-05,1.2223951866681667e-05,25.050442165817405,25.00313434663251,4.857872695949084e-06
0.185,1.2349432249218748e-05,1.2349435027649966e-05,25.0506917224857,25.00316652180195,4.909252055857264e-06
0.186,1.2475471157646066e-05,1.247547399502097e-05,25.050941029584994,25.00319883948589,4.960883647777289e-06
0.187,1.260206463440623e-05,1.2602067531734562e-05,25.051190087364798,25.003231299367112,5.012767198935992e-06
0.188,1.2729211444458606e-05,1.2729214402623893e-05,25.05143889607437,25.0032639011289,5.064902436844121e-06
0.189,1.2856910354403394e-05,1.285691337466781e-05,25.051687455962718,25.003296644455023,5.117289089391854e-06
0.19,1.2985160133112708e-05,1.2985163215981126e-05,25.051935767278607,25.00332952902974,5.169926884470096e-06
0.191,1.311395955097328e-05,1.3113962697581659e-05,25.052183830270547,25.00336255453781,5.222815550634899e-06
0.192,1.3243307380138886e-05,1.3243310591370751e-05,25.0524316451868,25.00339572066446,5.275954816349576e-06
0.193,1.3373202395161444e-05,1.3373205672026535e-05,25.052679212275386,25.00342902709543,5.329344410696465e-06
0.194,1.3503643372486133e-05,1.3503646715994194e-05,25.052926531784067,25.003462473516926,5.382984062998448e-06
0.195,1.3634629089946533e-05,1.3634632501107305e-05,25.053173603960367,25.003496059615657,5.4368735026772615e-06
0.196,1.3766158327774355e-05,1.3766161807218926e-05,25.053420429051556,25.003529785078815,5.491012459491137e-06
0.197,1.3898229867337273e-05,1.3898233416706475e-05,25.05366700730466,25.00356364959407,5.5454006637252184e-06
0.198,1.4030842493284624e-05,1.4030846113335763e-05,25.05391333896646,25.00359765284959,5.600037845765561e-06
0.199,1.4163994991023046e-05,1.416399868251343e-05,25.054159424283483,25.003631794534016,5.654923736194466e-06
0.2,1.429768614785245e-05,1.4297689912170472e-05,25.05620525535893,25.00366607433648,5.7100580661230696e-06
0.201,1.4436828724307069e-05,1.4436832569404448e-05,25.058249040510674,25.003701751940895,5.767287162025251e-06
0.202,1.4581411683276206e-05,1.458141561760953e-05,25.06029078178112,25.00373882451731,5.8266087606086845e-06
0.203,1.4731424004309907e-05,1.4731428036209548e-05,25.062330481210637,25.003777289240038,5.888020600790329e-06
0.20400000000000001,1.4886854684250046e-05,1.4886858821920157e-05,25.06436814083755,25.003817143287645,5.951520424176273e-06
0.20500000000000002,1.5047692735589501e-05,1.5047696987486672e-05,25.066403762698158,25.003858383842942,6.017105974593412e-06
0.20600000000000002,1.521392718811298e-05,1.5213931562567582e-05,25.068437348826723,25.00390100809299,6.084774998426992e-06
0.20700000000000002,1.5385547087129975e-05,1.5385551593482118e-05,25.070468901255474,25.003945013229075,6.154525244531601e-06
0.20800000000000002,1.5562541495746674e-05,1.5562546142200516e-05,25.072498422014615,25.003990396446724,6.2263544638574784e-06
0.209,1.574489949297271e-05,1.5744904288111054e-05,25.074525913132323,25.00403715494569,6.3002604101199575e-06
0.21,1.5932610173721143e-05,1.5932615126757886e-05,25.076551376634754,25.004085285929936,6.376240839331174e-06
0.211,1.6125662650323084e-05,1.6125667769714814e-05,25.078574814546034,25.00413478660765,6.454293509758221e-06
0.212,1.6324046050508216e-05,1.6324051345847484e-05,25.080596228888275,25.004185654191225,6.534416182402998e-06
0.213,1.652774951904561e-05,1.6527754999293874e-05,25.08261562168157,25.004237885897258,6.616606620249293e-06
0.214,1.673676221698643e-05,1.673676789161002e-05,25.084632994943988,25.004291478946538,6.700862589074386e-06
0.215,1.695107332191636e-05,1.6951079199876737e-05,25.086648350691593,25.004346430564052,6.787181856743602e-06
0.216,1.7170672027072086e-05,1.7170678118088015e-05,25.088661690938437,25.00440273797897,6.875562193737421e-06
0.217,1.7395547542603477e-05,1.7395553856015076e-05,25.090673017696556,25.004460398424648,6.966001372730448e-06
0.218,1.7625689094942486e-05,1.7625695640594734e-05,25.092682332975976,25.00451940913861,7.058497169118596e-06
0.219,1.786108592655072e-05,1.7861092713909948e-05,25.094689638784725,25.004579767362554,7.1530473602661325e-06
0.22,1.810172729579322e-05,1.810173433508307e-05,25.09669493712882,25.00464147034234,7.249649726222378e-06
0.221,1.8347602477695776e-05,1.834760977913988e-05,25.09869823001228,25.004704515327987,7.3483020493007074e-06
0.222,1.8598700763944916e-05,1.8598708337135824e-05,25.100699519437118,25.004768899573666,7.449002114131493e-06
0.223,1.885501146149951e-05,1.8855019316913295e-05,25.102698807403357,25.004834620337697,7.551747707952214e-06
0.224,1.911652389360053e-05,1.91165320419657e-05,25.104696095909016,25.00490167488254,7.656536620186393e-06
0.225,1.9383227400149675e-05,1.938323585168987e-05,25.106691386950125,25.004970060474793,7.763366642543857e-06
0.226,1.9655111336825878e-05,1.9655120102143384e-05,25.108684682520718,25.005039774385185,7.87223556931083e-06
0.227,1.9932165075590145e-05,1.9932174165413474e-05,25.11067598461284,25.005110813888564,7.983141197118525e-06
0.228,2.0214378003675842e-05,2.021438742936459e-05,25.11266529521655,25.005183176263905,8.09608132485383e-06
0.229,2.050173952560816e-05,2.05017492976384e-05,25.11465261631992,25.005256858794294,8.211053753664758e-06
0.23,2.079423906105842e-05,2.0794249190915967e-05,25.11663794990903,25.005331858766922,8.328056287440214e-06
0.231,2.1091866045853814e-05,2.1091876545024483e-05,25.118621297967987,25.005408173473093,8.447086732104411e-06
0.232,2.1394609932229843e-05,2.139462081194701e-05,25.120602662478912,25.0054858002082,8.56814289600156e-06
0.233,2.1702460187694354e-05,2.1702471459696275e-05,25.122582045421954,25.005564736271726,8.691222589854021e-06
0.234,2.201540629603728e-05,2.201541797218842e-05,25.124559448775276,25.00564497896725,8.816323626720408e-06
0.23500000000000001,2.2333437757078214e-05,2.2333449849495475e-05,25.126534874515077,25.005726525602427,8.94344382209595e-06
0.23600000000000002,2.2656544086287744e-05,2.2656556606961813e-05,25.128508324615577,25.005809373488983,9.072580993586072e-06
0.23700000000000002,2.2984714815544767e-05,2.298472777646633e-05,25.130479801049024,25.005893519942724,9.203732961385948e-06
0.23800000000000002,2.3317939491369436e-05,2.331795290553892e-05,25.132449305785702,25.005978962283514,9.33689754795424e-06
0.23900000000000002,2.3656207677573738e-05,2.3656221557612922e-05,25.13441684079393,25.00606569783528,9.472072578113338e-06
0.24,2.3999508952863356e-05,2.3999523311267792e-05,25.136382408040053,25.006153723925998,9.609255878770289e-06
0.241,2.4347832912226056e-05,2.4347847761869954e-05,25.138346009488462,25.0062430378877,9.748445279538624e-06
0.242,2.4701169165921955e-05,2.4701184520184396e-05,25.140307647101586,25.006333637056454,9.889638612222426e-06
0.243,2.5059507340114603e-05,2.5059523212248455e-05,25.142267322839892,25.006425518772367,1.0032833710774216e-05
0.244,2.5422837076744774e-05,2.5422853480381548e-05,25.14422503866189,25.006518680379582,1.0178028411679686e-05
0.245,2.5791148033909106e-05,2.5791164982301666e-05,25.146180796524142,25.006613119226266,1.0325220553631297e-05
0.246,2.616442988447172e-05,2.616444739188267e-05,25.148134598381247,25.006708832664607,1.0474407977818202e-05
0.247,2.6542672317578818e-05,2.6542690398270767e-05,25.15008644618586,25.00680581805081,1.0625588527599803e-05
0.248,2.6925865038027612e-05,2.692588370575829e-05,25.152036341888685,25.00690407274509,1.07787600484636e-05
0.249,2.7313997765887653e-05,2.7314017035550755e-05,25.15398428743848,25.007003594111666,1.0933920388694461e-05
0.25,2.770706023725815e-05,2.7707080123116283e-05,25.155930284782055,25.00710437951876,1.1091067398384421e-05
